ID	Label
D1-1	AI
D1-2	Human
D1-3	AI
D1-4	Human
D1-5	AI
D1-6	Human
D1-7	AI
D1-8	Human
D1-9	AI
D1-10	Human
D1-11	AI
D1-12	Human
D1-13	AI
D1-14	Human
D1-15	AI
D1-16	Human
D1-17	AI
D1-18	Human
D1-19	AI
D1-20	Human
D1-21	AI
D1-22	Human
D1-23	AI
D1-24	Human
D1-25	AI
D1-26	Human
D1-27	AI
D1-28	Human
D1-29	AI
D1-30	Human
D1-31	AI
D1-32	Human
D1-33	AI
D1-34	Human
D1-35	AI
D1-36	Human
D1-37	AI
D1-38	Human
D1-39	AI
D1-40	Human
D1-41	AI
D1-42	Human
D1-43	AI
D1-44	Human
D1-45	AI
D1-46	Human
D1-47	AI
D1-48	Human
D1-49	AI
D1-50	Human
D1-51	AI
D1-52	Human
D1-53	AI
D1-54	Human
D1-55	AI
D1-56	Human
D1-57	AI
D1-58	Human
D1-59	AI
D1-60	Human
D1-61	AI
D1-62	Human
D1-63	AI
D1-64	Human
D1-65	AI
D1-66	Human
D1-67	AI
D1-68	Human
D1-69	AI
D1-70	Human
D1-71	AI
D1-72	Human
D1-73	AI
D1-74	Human
D1-75	AI
D1-76	Human
D1-77	AI
D1-78	Human
D1-79	AI
D1-80	Human
D1-81	AI
D1-82	Human
D1-83	AI
D1-84	Human
D1-85	AI
D1-86	Human
D1-87	AI
D1-88	Human
D1-89	AI
D1-90	Human
D1-91	AI
D1-92	Human
D1-93	AI
D1-94	Human
D1-95	AI
D1-96	Human
D1-97	AI
D1-98	Human
D1-99	AI
D1-100	Human
D1-101	AI
D1-102	Human
D1-103	AI
D1-104	Human
D1-105	AI
D1-106	Human
D1-107	AI
D1-108	Human
D1-109	AI
D1-110	Human
D1-111	AI
D1-112	Human
D1-113	AI
D1-114	Human
D1-115	AI
D1-116	Human
D1-117	AI
D1-118	Human
D1-119	AI
D1-120	Human
D1-121	AI
D1-122	Human
D1-123	AI
D1-124	Human
D1-125	AI
D1-126	Human
D1-127	AI
D1-128	Human
D1-129	AI
D1-130	Human
D1-131	AI
D1-132	Human
D1-133	AI
D1-134	Human
D1-135	AI
D1-136	Human
D1-137	AI
D1-138	Human
D1-139	AI
D1-140	Human
D1-141	AI
D1-142	Human
D1-143	AI
D1-144	Human
D1-145	AI
D1-146	Human
D1-147	AI
D1-148	Human
D1-149	AI
D1-150	Human
D1-151	AI
D1-152	Human
D1-153	AI
D1-154	Human
D1-155	AI
D1-156	Human
D1-157	AI
D1-158	Human
D1-159	AI
D1-160	Human
D1-161	AI
D1-162	Human
D1-163	AI
D1-164	Human
D1-165	AI
D1-166	Human
D1-167	AI
D1-168	Human
D1-169	AI
D1-170	Human
D1-171	AI
D1-172	Human
D1-173	AI
D1-174	Human
D1-175	AI
D1-176	Human
D1-177	AI
D1-178	Human
D1-179	AI
D1-180	Human
D1-181	AI
D1-182	Human
D1-183	AI
D1-184	Human
D1-185	AI
D1-186	Human
D1-187	AI
D1-188	Human
